Value,Matched Value
IFNB1,9606.ENSP00000369581
IL1A,9606.ENSP00000263339
IL23R,9606.ENSP00000321345
TGFB1,9606.ENSP00000221930
C2,9606.ENSP00000299367
C3,9606.ENSP00000245907
C5,9606.ENSP00000223642
C6,9606.ENSP00000263413
C7,9606.ENSP00000322061
C9,9606.ENSP00000263408
CCL13,9606.ENSP00000225844
CCL2,9606.ENSP00000225831
CCL20,9606.ENSP00000351671
CCL28,9606.ENSP00000354416
CXCL1,9606.ENSP00000379110
CXCL5,9606.ENSP00000296027
CXCL6,9606.ENSP00000226317
CXCL8,9606.ENSP00000306512
IFNA2,9606.ENSP00000369554
IFNG,9606.ENSP00000229135
IL10,9606.ENSP00000412237
IL13,9606.ENSP00000304915
IL17A,9606.ENSP00000497968
IL1B,9606.ENSP00000263341
IL2,9606.ENSP00000226730
IL22,9606.ENSP00000442424
IL34,9606.ENSP00000397863
IL4,9606.ENSP00000231449
IL5,9606.ENSP00000231454
IL6,9606.ENSP00000385675
IL9,9606.ENSP00000274520
TNF,9606.ENSP00000398698
CXCL9,9606.ENSP00000354901
GDF15,9606.ENSP00000252809
CSF1,9606.ENSP00000327513
