,nodes
9606.ENSP00000356198,228
9606.ENSP00000256509,229
9606.ENSP00000361112,230
9606.ENSP00000333947,231
9606.ENSP00000307911,232
9606.ENSP00000328983,233
9606.ENSP00000367276,234
9606.ENSP00000299198,235
9606.ENSP00000221476,236
9606.ENSP00000221804,237
9606.ENSP00000250340,238
9606.ENSP00000298527,239
9606.ENSP00000316228,240
9606.ENSP00000302569,241
9606.ENSP00000364935,242
9606.ENSP00000315130,243
9606.ENSP00000250378,244
9606.ENSP00000360939,245
9606.ENSP00000351682,246
9606.ENSP00000325548,247
9606.ENSP00000355370,248
9606.ENSP00000368265,249
9606.ENSP00000447006,250
9606.ENSP00000330633,251
9606.ENSP00000380602,252
9606.ENSP00000435637,253
9606.ENSP00000352798,254
9606.ENSP00000375069,255
9606.ENSP00000261037,256
9606.ENSP00000411770,257
9606.ENSP00000383115,258
9606.ENSP00000278980,259
9606.ENSP00000262428,260
9606.ENSP00000181383,261
9606.ENSP00000386104,262
9606.ENSP00000317257,263
9606.ENSP00000321856,264
9606.ENSP00000389026,265
9606.ENSP00000300574,266
9606.ENSP00000370978,267
9606.ENSP00000255030,268
9606.ENSP00000227348,269
9606.ENSP00000370966,270
9606.ENSP00000327513,271
9606.ENSP00000286301,272
9606.ENSP00000296871,273
9606.ENSP00000225474,274
9606.ENSP00000362195,275
9606.ENSP00000220003,276
9606.ENSP00000217244,277
9606.ENSP00000431813,278
9606.ENSP00000305731,279
9606.ENSP00000307540,280
9606.ENSP00000381448,281
9606.ENSP00000217423,282
9606.ENSP00000307132,283
9606.ENSP00000311313,284
9606.ENSP00000420384,285
9606.ENSP00000279804,286
9606.ENSP00000497102,287
9606.ENSP00000361562,288
9606.ENSP00000345672,289
9606.ENSP00000227266,290
9606.ENSP00000236671,291
9606.ENSP00000350911,292
9606.ENSP00000310832,293
9606.ENSP00000216336,294
9606.ENSP00000220166,295
9606.ENSP00000357981,296
9606.ENSP00000259470,297
9606.ENSP00000217131,298
9606.ENSP00000006053,299
9606.ENSP00000379110,300
9606.ENSP00000305651,301
9606.ENSP00000306884,302
9606.ENSP00000379140,303
9606.ENSP00000286758,304
9606.ENSP00000293778,305
9606.ENSP00000296027,306
9606.ENSP00000226317,307
9606.ENSP00000306512,308
9606.ENSP00000354901,309
9606.ENSP00000307786,310
9606.ENSP00000498939,311
9606.ENSP00000484390,312
9606.ENSP00000417653,313
9606.ENSP00000052754,314
9606.ENSP00000408910,315
9606.ENSP00000322524,316
9606.ENSP00000403644,317
9606.ENSP00000427552,318
9606.ENSP00000356899,319
9606.ENSP00000455813,320
9606.ENSP00000497483,321
9606.ENSP00000499058,322
9606.ENSP00000363081,323
9606.ENSP00000433112,324
9606.ENSP00000220812,325
9606.ENSP00000221498,326
9606.ENSP00000355718,327
9606.ENSP00000249749,328
9606.ENSP00000254322,329
9606.ENSP00000372005,330
9606.ENSP00000360635,331
9606.ENSP00000356791,332
9606.ENSP00000280904,333
9606.ENSP00000353608,334
9606.ENSP00000383303,335
9606.ENSP00000257192,336
9606.ENSP00000226004,337
9606.ENSP00000376297,338
9606.ENSP00000349679,339
9606.ENSP00000356076,340
9606.ENSP00000364028,341
9606.ENSP00000358045,342
9606.ENSP00000363680,343
9606.ENSP00000379365,344
9606.ENSP00000258443,345
9606.ENSP00000376055,346
9606.ENSP00000378058,347
9606.ENSP00000215368,348
9606.ENSP00000357393,349
9606.ENSP00000414378,350
9606.ENSP00000328777,351
9606.ENSP00000204961,352
9606.ENSP00000493716,353
9606.ENSP00000226091,354
9606.ENSP00000265171,355
9606.ENSP00000275493,356
9606.ENSP00000379078,357
9606.ENSP00000497641,358
9606.ENSP00000433664,359
9606.ENSP00000265753,360
9606.ENSP00000216554,361
9606.ENSP00000336702,362
9606.ENSP00000466090,363
9606.ENSP00000362299,364
9606.ENSP00000495530,365
9606.ENSP00000437402,366
9606.ENSP00000332656,367
9606.ENSP00000360250,368
9606.ENSP00000301825,369
9606.ENSP00000335246,370
9606.ENSP00000345259,371
9606.ENSP00000275815,372
9606.ENSP00000362139,373
9606.ENSP00000351209,374
9606.ENSP00000337451,375
9606.ENSP00000480763,376
9606.ENSP00000383053,377
9606.ENSP00000350896,378
9606.ENSP00000481994,379
9606.ENSP00000252723,380
9606.ENSP00000222139,381
9606.ENSP00000393313,382
9606.ENSP00000296754,383
9606.ENSP00000269571,384
9606.ENSP00000267101,385
9606.ENSP00000342235,386
9606.ENSP00000244869,387
9606.ENSP00000261735,388
9606.ENSP00000278927,389
9606.ENSP00000367992,390
9606.ENSP00000370812,391
9606.ENSP00000405330,392
9606.ENSP00000292147,393
9606.ENSP00000364709,394
9606.ENSP00000384957,395
9606.ENSP00000308541,396
9606.ENSP00000334145,397
9606.ENSP00000356771,398
9606.ENSP00000364731,399
9606.ENSP00000218099,400
9606.ENSP00000295834,401
9606.ENSP00000362817,402
9606.ENSP00000297258,403
9606.ENSP00000419124,404
9606.ENSP00000181796,405
9606.ENSP00000350673,406
9606.ENSP00000188790,407
9606.ENSP00000498466,408
9606.ENSP00000356694,409
9606.ENSP00000347714,410
9606.ENSP00000264072,411
9606.ENSP00000358165,412
9606.ENSP00000271450,413
9606.ENSP00000351497,414
9606.ENSP00000433642,415
9606.ENSP00000360871,416
9606.ENSP00000291744,417
9606.ENSP00000270879,418
9606.ENSP00000357169,419
9606.ENSP00000281092,420
9606.ENSP00000265029,421
9606.ENSP00000480791,422
9606.ENSP00000264664,423
9606.ENSP00000413496,424
9606.ENSP00000399324,425
9606.ENSP00000352414,426
9606.ENSP00000274625,427
9606.ENSP00000294312,428
9606.ENSP00000264498,429
9606.ENSP00000180166,430
9606.ENSP00000237837,431
9606.ENSP00000168712,432
9606.ENSP00000311697,433
9606.ENSP00000228837,434
9606.ENSP00000267843,435
9606.ENSP00000321797,436
9606.ENSP00000371790,437
9606.ENSP00000393312,438
9606.ENSP00000410294,439
9606.ENSP00000339824,440
9606.ENSP00000292408,441
9606.ENSP00000336829,442
9606.ENSP00000363117,443
9606.ENSP00000246841,444
9606.ENSP00000332879,445
9606.ENSP00000339912,446
9606.ENSP00000241453,447
9606.ENSP00000469613,448
9606.ENSP00000261937,449
9606.ENSP00000346839,450
9606.ENSP00000256999,451
9606.ENSP00000295113,452
9606.ENSP00000256759,453
9606.ENSP00000295633,454
9606.ENSP00000166139,455
9606.ENSP00000380856,456
9606.ENSP00000305603,457
9606.ENSP00000466880,458
9606.ENSP00000346671,459
9606.ENSP00000380070,460
9606.ENSP00000298743,461
9606.ENSP00000387662,462
9606.ENSP00000264717,463
9606.ENSP00000257868,464
9606.ENSP00000252809,465
9606.ENSP00000463051,466
9606.ENSP00000363492,467
9606.ENSP00000367942,468
9606.ENSP00000369538,469
9606.ENSP00000409007,470
9606.ENSP00000253408,471
9606.ENSP00000347591,472
9606.ENSP00000428518,473
9606.ENSP00000274721,474
9606.ENSP00000312673,475
9606.ENSP00000483403,476
9606.ENSP00000335074,477
9606.ENSP00000436423,478
9606.ENSP00000258145,479
9606.ENSP00000359539,480
9606.ENSP00000329380,481
9606.ENSP00000308782,482
9606.ENSP00000292377,483
9606.ENSP00000377836,484
9606.ENSP00000366267,485
9606.ENSP00000366246,486
9606.ENSP00000301149,487
9606.ENSP00000405573,488
9606.ENSP00000371420,489
9606.ENSP00000378408,490
9606.ENSP00000339186,491
9606.ENSP00000376345,492
9606.ENSP00000498748,493
9606.ENSP00000312262,494
9606.ENSP00000053867,495
9606.ENSP00000256857,496
9606.ENSP00000362924,497
9606.ENSP00000211122,498
9606.ENSP00000381607,499
9606.ENSP00000274306,500
9606.ENSP00000216341,501
9606.ENSP00000216338,502
9606.ENSP00000339566,503
9606.ENSP00000355656,504
9606.ENSP00000296417,505
9606.ENSP00000358151,506
9606.ENSP00000352252,507
9606.ENSP00000294973,508
9606.ENSP00000471894,509
9606.ENSP00000274341,510
9606.ENSP00000264108,511
9606.ENSP00000312002,512
9606.ENSP00000230990,513
9606.ENSP00000365012,514
9606.ENSP00000362674,515
9606.ENSP00000483345,516
9606.ENSP00000222390,517
9606.ENSP00000421801,518
9606.ENSP00000350402,519
9606.ENSP00000265395,520
9606.ENSP00000437955,521
9606.ENSP00000304229,522
9606.ENSP00000304226,523
9606.ENSP00000337014,524
9606.ENSP00000494664,525
9606.ENSP00000290573,526
9606.ENSP00000345347,527
9606.ENSP00000287936,528
9606.ENSP00000370125,529
9606.ENSP00000477572,530
9606.ENSP00000346694,531
9606.ENSP00000425031,532
9606.ENSP00000365458,533
9606.ENSP00000348170,534
9606.ENSP00000296522,535
9606.ENSP00000265983,536
