,nodes
9606.ENSP00000246868,998
9606.ENSP00000264896,999
9606.ENSP00000263071,1000
9606.ENSP00000485276,1001
9606.ENSP00000244930,1002
9606.ENSP00000176195,1003
9606.ENSP00000331736,1004
9606.ENSP00000498227,1005
9606.ENSP00000263686,1006
9606.ENSP00000265362,1007
9606.ENSP00000496491,1008
9606.ENSP00000371936,1009
9606.ENSP00000257414,1010
9606.ENSP00000467290,1011
9606.ENSP00000416066,1012
9606.ENSP00000261994,1013
9606.ENSP00000450540,1014
9606.ENSP00000451172,1015
9606.ENSP00000333203,1016
9606.ENSP00000342850,1017
9606.ENSP00000329374,1018
9606.ENSP00000356671,1019
9606.ENSP00000215727,1020
9606.ENSP00000223095,1021
9606.ENSP00000415786,1022
9606.ENSP00000254722,1023
9606.ENSP00000321853,1024
9606.ENSP00000278407,1025
9606.ENSP00000361777,1026
9606.ENSP00000481917,1027
9606.ENSP00000340989,1028
9606.ENSP00000220772,1029
9606.ENSP00000361366,1030
9606.ENSP00000221566,1031
9606.ENSP00000360181,1032
9606.ENSP00000369816,1033
9606.ENSP00000401303,1034
9606.ENSP00000297261,1035
9606.ENSP00000341141,1036
9606.ENSP00000354090,1037
9606.ENSP00000401502,1038
9606.ENSP00000323328,1039
9606.ENSP00000413861,1040
9606.ENSP00000478763,1041
9606.ENSP00000249396,1042
9606.ENSP00000231487,1043
9606.ENSP00000357036,1044
9606.ENSP00000357022,1045
9606.ENSP00000329033,1046
9606.ENSP00000366288,1047
9606.ENSP00000366283,1048
9606.ENSP00000342082,1049
9606.ENSP00000262160,1050
9606.ENSP00000332973,1051
9606.ENSP00000355110,1052
9606.ENSP00000254976,1053
9606.ENSP00000500990,1054
9606.ENSP00000266735,1055
9606.ENSP00000251775,1056
9606.ENSP00000270142,1057
9606.ENSP00000446252,1058
9606.ENSP00000371554,1059
9606.ENSP00000422185,1060
9606.ENSP00000301691,1061
9606.ENSP00000231061,1062
9606.ENSP00000414856,1063
9606.ENSP00000313681,1064
9606.ENSP00000469158,1065
9606.ENSP00000342098,1066
9606.ENSP00000301244,1067
9606.ENSP00000378401,1068
9606.ENSP00000321108,1069
9606.ENSP00000460236,1070
9606.ENSP00000378517,1071
9606.ENSP00000487444,1072
9606.ENSP00000362680,1073
9606.ENSP00000278412,1074
9606.ENSP00000287641,1075
9606.ENSP00000373539,1076
9606.ENSP00000354394,1077
9606.ENSP00000264657,1078
9606.ENSP00000300134,1079
9606.ENSP00000290271,1080
9606.ENSP00000351646,1081
9606.ENSP00000379964,1082
9606.ENSP00000219548,1083
9606.ENSP00000222812,1084
9606.ENSP00000409666,1085
9606.ENSP00000358635,1086
9606.ENSP00000360269,1087
9606.ENSP00000357076,1088
9606.ENSP00000329967,1089
9606.ENSP00000230354,1090
9606.ENSP00000296145,1091
9606.ENSP00000370912,1092
9606.ENSP00000369375,1093
9606.ENSP00000385834,1094
9606.ENSP00000291527,1095
9606.ENSP00000291526,1096
9606.ENSP00000430690,1097
9606.ENSP00000233156,1098
9606.ENSP00000220616,1099
9606.ENSP00000221930,1100
9606.ENSP00000355896,1101
9606.ENSP00000238682,1102
9606.ENSP00000416330,1103
9606.ENSP00000351905,1104
9606.ENSP00000212355,1105
9606.ENSP00000370867,1106
9606.ENSP00000260356,1107
9606.ENSP00000355751,1108
9606.ENSP00000339730,1109
9606.ENSP00000494504,1110
9606.ENSP00000361554,1111
9606.ENSP00000218388,1112
9606.ENSP00000262768,1113
9606.ENSP00000266085,1114
9606.ENSP00000468425,1115
9606.ENSP00000391481,1116
9606.ENSP00000260010,1117
9606.ENSP00000363089,1118
9606.ENSP00000284885,1119
9606.ENSP00000265131,1120
9606.ENSP00000398698,1121
9606.ENSP00000243347,1122
9606.ENSP00000221132,1123
9606.ENSP00000276431,1124
9606.ENSP00000310263,1125
9606.ENSP00000465500,1126
9606.ENSP00000297350,1127
9606.ENSP00000326737,1128
9606.ENSP00000261652,1129
9606.ENSP00000291232,1130
9606.ENSP00000347948,1131
9606.ENSP00000053243,1132
9606.ENSP00000328207,1133
9606.ENSP00000371693,1134
9606.ENSP00000162749,1135
9606.ENSP00000365435,1136
9606.ENSP00000296861,1137
9606.ENSP00000368538,1138
9606.ENSP00000359013,1139
9606.ENSP00000263932,1140
9606.ENSP00000478699,1141
9606.ENSP00000381775,1142
9606.ENSP00000293825,1143
9606.ENSP00000365048,1144
9606.ENSP00000469049,1145
9606.ENSP00000363157,1146
9606.ENSP00000385470,1147
9606.ENSP00000281834,1148
9606.ENSP00000223795,1149
9606.ENSP00000245817,1150
9606.ENSP00000371336,1151
9606.ENSP00000341838,1152
9606.ENSP00000499593,1153
9606.ENSP00000354522,1154
9606.ENSP00000269305,1155
9606.ENSP00000229270,1156
9606.ENSP00000351022,1157
9606.ENSP00000496494,1158
9606.ENSP00000494125,1159
9606.ENSP00000329869,1160
9606.ENSP00000482743,1161
9606.ENSP00000477781,1162
9606.ENSP00000339804,1163
9606.ENSP00000360688,1164
9606.ENSP00000431885,1165
9606.ENSP00000315644,1166
9606.ENSP00000263798,1167
9606.ENSP00000478771,1168
9606.ENSP00000441543,1169
9606.ENSP00000338348,1170
9606.ENSP00000348056,1171
9606.ENSP00000400906,1172
9606.ENSP00000316176,1173
9606.ENSP00000284440,1174
9606.ENSP00000356982,1175
9606.ENSP00000368970,1176
9606.ENSP00000229708,1177
9606.ENSP00000356320,1178
9606.ENSP00000356308,1179
9606.ENSP00000406022,1180
9606.ENSP00000385143,1181
9606.ENSP00000383044,1182
9606.ENSP00000472929,1183
9606.ENSP00000294728,1184
9606.ENSP00000480043,1185
9606.ENSP00000297904,1186
9606.ENSP00000356213,1187
9606.ENSP00000378409,1188
9606.ENSP00000356602,1189
9606.ENSP00000226218,1190
9606.ENSP00000261405,1191
9606.ENSP00000324763,1192
9606.ENSP00000311184,1193
9606.ENSP00000286574,1194
9606.ENSP00000346667,1195
9606.ENSP00000285018,1196
9606.ENSP00000356792,1197
9606.ENSP00000421566,1198
9606.ENSP00000352257,1199
9606.ENSP00000462468,1200
9606.ENSP00000361930,1201
9606.ENSP00000264335,1202
9606.ENSP00000371267,1203
9606.ENSP00000379287,1204
9606.ENSP00000264972,1205
9606.ENSP00000443824,1206
