0,9606.ENSP00000006053,299,CX3CL1,0.9999951124191284
1,9606.ENSP00000306884,302,CXCL11,0.9999619722366332
2,9606.ENSP00000351671,153,CCL20,0.9999597072601318
3,9606.ENSP00000259631,160,CCL27,0.9999587535858154
4,9606.ENSP00000379110,300,CXCL1,0.9999481439590454
5,9606.ENSP00000225831,152,CCL2,0.999943733215332
6,9606.ENSP00000305651,301,CXCL10,0.9999301433563232
7,9606.ENSP00000306512,308,CXCL8,0.9999169111251832
8,9606.ENSP00000225844,145,CCL13,0.999914050102234
9,9606.ENSP00000378365,159,CCL26,0.9999122619628906
10,9606.ENSP00000225842,143,CCL1,0.9999103546142578
11,9606.ENSP00000497968,587,IL17A,0.9999011754989624
12,9606.ENSP00000296027,306,CXCL5,0.9998959302902222
13,9606.ENSP00000354901,309,CXCL9,0.9998892545700072
14,9606.ENSP00000474412,165,CCL5,0.9998728036880492
15,9606.ENSP00000293778,305,CXCL16,0.9998649358749391
16,9606.ENSP00000367832,166,CCL7,0.9998605251312256
17,9606.ENSP00000412237,577,IL10,0.9998327493667604
18,9606.ENSP00000302234,144,CCL11,0.999831199645996
19,9606.ENSP00000263339,599,IL1A,0.9997979998588562
20,9606.ENSP00000231449,626,IL4,0.9997538924217224
21,9606.ENSP00000304915,583,IL13,0.9997373223304749
22,9606.ENSP00000263341,600,IL1B,0.9997190833091736
23,9606.ENSP00000219244,149,CCL17,0.9997044205665588
24,9606.ENSP00000226317,307,CXCL6,0.9996975660324096
25,9606.ENSP00000400533,157,CCL24,0.9996827840805054
26,9606.ENSP00000375086,158,CCL25,0.999648094177246
27,9606.ENSP00000286758,304,CXCL13,0.999601662158966
28,9606.ENSP00000378118,167,CCL8,0.9995928406715392
29,9606.ENSP00000296871,273,CSF2,0.99957937002182
30,9606.ENSP00000296029,875,PF4,0.9995655417442322
31,9606.ENSP00000477908,162,CCL3,0.9994474053382874
32,9606.ENSP00000219235,155,CCL22,0.9994335770606996
33,9606.ENSP00000379140,303,CXCL12,0.9994016885757446
34,9606.ENSP00000302935,586,IL16,0.9993181228637696
35,9606.ENSP00000484078,147,CCL15,0.9991995692253112
36,9606.ENSP00000385675,630,IL6,0.999051868915558
37,9606.ENSP00000231454,628,IL5,0.999037504196167
38,9606.ENSP00000442424,611,IL22,0.998933970928192
39,9606.ENSP00000259607,154,CCL21,0.9989247918128968
40,9606.ENSP00000255030,268,CRP,0.9987806677818298
41,9606.ENSP00000308815,151,CCL19,0.9984683394432068
42,9606.ENSP00000229135,562,IFNG,0.9984155893325806
43,9606.ENSP00000259206,607,IL1RN,0.9983248114585876
44,9606.ENSP00000479955,150,CCL18,0.9983081817626952
45,9606.ENSP00000483330,164,CCL4L2,0.997897744178772
46,9606.ENSP00000296028,909,PPBP,0.9978664517402648
47,9606.ENSP00000398698,1121,TNF,0.9977471232414246
48,9606.ENSP00000478024,148,CCL16,0.9975348711013794
49,9606.ENSP00000352071,174,CD163,0.9972705245018004
50,9606.ENSP00000481357,156,CCL23,0.9971200227737428
51,9606.ENSP00000458585,766,MMP12,0.9969452023506165
52,9606.ENSP00000354416,161,CCL28,0.9968901276588441
53,9606.ENSP00000356792,1197,XCL1,0.99676775932312
54,9606.ENSP00000480558,163,CCL3L1,0.9967163205146791
55,9606.ENSP00000263851,633,IL7,0.996570348739624
56,9606.ENSP00000362108,686,LCN2,0.996248424053192
57,9606.ENSP00000361405,775,MMP9,0.9960544109344482
58,9606.ENSP00000386380,601,IL1R1,0.9958851933479308
59,9606.ENSP00000337432,590,IL17F,0.9958761930465698
60,9606.ENSP00000274520,635,IL9,0.9956421852111816
61,9606.ENSP00000225275,777,MPO,0.9954642653465272
62,9606.ENSP00000011653,189,CD4,0.9950566291809082
63,9606.ENSP00000327513,271,CSF1,0.9945159554481506
64,9606.ENSP00000369581,561,IFNB1,0.9944445490837096
65,9606.ENSP00000226730,608,IL2,0.9941144585609436
66,9606.ENSP00000403495,715,LTA,0.9935156106948853
67,9606.ENSP00000455897,778,MRC1,0.9934964179992676
