9606.ENSP00000225844,145,CCL13
9606.ENSP00000479097,146,CCL14
9606.ENSP00000484078,147,CCL15
9606.ENSP00000478024,148,CCL16
9606.ENSP00000219244,149,CCL17
9606.ENSP00000479955,150,CCL18
9606.ENSP00000308815,151,CCL19
9606.ENSP00000225831,152,CCL2
9606.ENSP00000351671,153,CCL20
9606.ENSP00000259607,154,CCL21
9606.ENSP00000219235,155,CCL22
9606.ENSP00000481357,156,CCL23
9606.ENSP00000400533,157,CCL24
9606.ENSP00000375086,158,CCL25
9606.ENSP00000378365,159,CCL26
9606.ENSP00000259631,160,CCL27
9606.ENSP00000354416,161,CCL28
9606.ENSP00000477908,162,CCL3
9606.ENSP00000480558,163,CCL3L1
9606.ENSP00000483330,164,CCL4L2
9606.ENSP00000474412,165,CCL5
9606.ENSP00000367832,166,CCL7
9606.ENSP00000378118,167,CCL8
9606.ENSP00000356954,168,CCN2
9606.ENSP00000259526,169,CCN3
9606.ENSP00000250160,170,CCN4
9606.ENSP00000357655,171,CCN6
9606.ENSP00000256442,172,CCNB1
9606.ENSP00000287097,173,CD109
9606.ENSP00000352071,174,CD163
9606.ENSP00000479536,175,CD177
9606.ENSP00000420298,176,CD200
9606.ENSP00000311035,177,CD200R1
9606.ENSP00000386378,178,CD207
9606.ENSP00000315477,179,CD209
9606.ENSP00000085219,180,CD22
9606.ENSP00000461947,181,CD226
9606.ENSP00000357012,182,CD244
9606.ENSP00000266557,183,CD27
9606.ENSP00000370989,184,CD274
9606.ENSP00000329507,185,CD300C
9606.ENSP00000262262,186,CD33
9606.ENSP00000415743,187,CD36
9606.ENSP00000226279,188,CD38
9606.ENSP00000011653,189,CD4
9606.ENSP00000359663,190,CD40LG
9606.ENSP00000355361,191,CD47
9606.ENSP00000484431,192,CD48
9606.ENSP00000356030,193,CD55
9606.ENSP00000498879,194,CD59
9606.ENSP00000357156,195,CD5L
9606.ENSP00000447730,196,CD63
9606.ENSP00000395294,197,CD70
9606.ENSP00000264246,198,CD80
9606.ENSP00000368450,199,CD83
9606.ENSP00000312367,200,CD84
9606.ENSP00000332049,201,CD86
9606.ENSP00000246006,202,CD93
9606.ENSP00000222005,203,CDC37
9606.ENSP00000355237,204,CDC42BPB
9606.ENSP00000261769,205,CDH1
9606.ENSP00000371689,206,CDH12
9606.ENSP00000289746,207,CDH15
9606.ENSP00000269141,208,CDH2
9606.ENSP00000264012,209,CDH3
9606.ENSP00000497290,210,CDH5
9606.ENSP00000265071,211,CDH6
9606.ENSP00000228872,212,CDKN1B
9606.ENSP00000419395,213,CDNF
9606.ENSP00000376458,214,CDON
9606.ENSP00000305422,215,CEBPB
9606.ENSP00000416561,216,CFB
9606.ENSP00000259216,217,CFC1
9606.ENSP00000468253,218,CFD
9606.ENSP00000356399,219,CFH
9606.ENSP00000256785,220,CFHR5
9606.ENSP00000378131,221,CFI
9606.ENSP00000432660,222,CFL1
9606.ENSP00000247153,223,CFP
9606.ENSP00000391090,224,CHEK1
9606.ENSP00000372023,225,CHEK2
9606.ENSP00000216492,226,CHGA
9606.ENSP00000255409,227,CHI3L1
9606.ENSP00000356198,228,CHIT1
9606.ENSP00000256509,229,CHL1
9606.ENSP00000361112,230,CHRDL1
9606.ENSP00000333947,231,CHST15
9606.ENSP00000307911,232,CHST2
9606.ENSP00000328983,233,CHST6
9606.ENSP00000367276,234,CKAP2
9606.ENSP00000299198,235,CKB
9606.ENSP00000221476,236,CKM
9606.ENSP00000221804,237,CLC
9606.ENSP00000250340,238,CLEC11A
9606.ENSP00000298527,239,CLEC1B
9606.ENSP00000316228,240,CLEC4M
9606.ENSP00000302569,241,CLEC7A
9606.ENSP00000364935,242,CLIC1
9606.ENSP00000315130,243,CLU
9606.ENSP00000250378,244,CMA1
9606.ENSP00000360939,245,CMPK1
9606.ENSP00000351682,246,CNDP1
9606.ENSP00000325548,247,CNDP2
9606.ENSP00000355370,248,CNTF
9606.ENSP00000368265,249,CNTFR
9606.ENSP00000447006,250,CNTN1
9606.ENSP00000330633,251,CNTN2
9606.ENSP00000380602,252,CNTN4
9606.ENSP00000435637,253,CNTN5
9606.ENSP00000352798,254,COL18A1
9606.ENSP00000375069,255,COL23A1
9606.ENSP00000261037,256,COL8A1
9606.ENSP00000411770,257,COLEC11
9606.ENSP00000383115,258,COLEC12
9606.ENSP00000278980,259,COMMD7
9606.ENSP00000262428,260,COTL1
9606.ENSP00000181383,261,CPB2
9606.ENSP00000386104,262,CPE
9606.ENSP00000317257,263,CPNE1
9606.ENSP00000321856,264,CRELD1
9606.ENSP00000389026,265,CRISP3
9606.ENSP00000300574,266,CRK
9606.ENSP00000370978,267,CRLF2
9606.ENSP00000255030,268,CRP
9606.ENSP00000227348,269,CRTAM
9606.ENSP00000370966,270,CRYZL1
9606.ENSP00000327513,271,CSF1
9606.ENSP00000286301,272,CSF1R
9606.ENSP00000296871,273,CSF2
9606.ENSP00000225474,274,CSF3
9606.ENSP00000362195,275,CSF3R
