384,ERBB2
385,ERBB3
386,ERBB4
387,EREG
388,ERP29
389,ESAM
390,ESD
391,ESM1
392,ESR1
393,ETHE1
394,F10
395,F11
396,F2
397,F3
398,F5
399,F7
400,F9
401,FABP1
402,FABP3
403,FABP5
404,FAM107A
405,FAM107B
406,FAM3B
407,FAP
408,FAS
409,FASLG
410,FCAR
411,FCER2
412,FCGR1A
413,FCGR2A
414,FCGR2B
415,FCGR3B
416,FCN1
417,FCN2
418,FCN3
419,FCRL3
420,FER
421,FETUB
422,FGF1
423,FGF10
424,FGF12
425,FGF16
426,FGF17
427,FGF18
428,FGF19
429,FGF2
430,FGF20
431,FGF23
432,FGF4
433,FGF5
434,FGF6
435,FGF7
436,FGF8
437,FGF9
438,FGFR1
439,FGFR2
440,FGFR3
441,FGFR4
442,FGG
443,FGR
444,FLRT1
445,FLRT2
446,FLRT3
447,FLT3
448,FLT3LG
449,FLT4
450,FN1
451,FOLH1
452,FRZB
453,FST
454,FSTL1
455,FSTL3
456,FTCD
457,FUT3
458,FUT5
459,FYN
460,GAPDH
461,GAS1
462,GCG
463,GCKR
464,GDF11
465,GDF15
466,GDF2
467,GDF5
468,GDF9
469,GDI2
470,GDNF
471,GFAP
472,GFRA1
473,GFRA2
474,GFRA3
475,GH1
476,GHR
477,GHRL
478,GNLY
479,GNS
480,GOT1
481,GP1BA
482,GP6
483,GPC2
484,GPC3
485,GPC5
486,GPC6
487,GPD1
488,GPI
489,GPNMB
490,GPT
491,GRAP2
492,GRB2
493,GREM1
494,GRK2
495,GRN
496,GRP
497,GSN
498,GSTA3
499,GSTP1
500,GZMA
501,GZMB
502,GZMH
503,H1-2
504,H2AW
505,H2AZ1
506,H2BC21
507,H3C12
508,HAAO
509,HAMP
510,HAPLN1
511,HAT1
512,HAVCR2
513,HBEGF
514,HCK
515,HDAC8
516,HDGFL2
517,HGF
518,HGFAC
519,HHLA2
520,HIBADH
521,HIF1A
522,HINT1
523,HIPK3
524,HJV
525,HK1
526,HK2
527,HMGB1
528,HMGCR
529,HMGN1
530,HMOX2
531,HNRNPA2B1
532,HNRNPAB
533,HNRNPK
534,HP
535,HPGD
536,HPX
537,HRG
538,HS6ST1
539,HSD17B1
540,HSD17B10
541,HSP90AB1
542,HSPA1A
543,HSPA8
544,HSPB1
545,HSPD1
546,HTRA2
547,IBSP
548,ICAM1
549,ICAM2
550,ICAM3
551,ICAM5
552,ICOS
553,ICOSLG
554,IDE
555,IDS
556,IDUA
557,IFNA10
558,IFNA2
559,IFNA7
560,IFNAR1
561,IFNB1
562,IFNG
563,IFNGR1
564,IFNGR2
565,IFNL1
566,IFNL2
567,IGF1
568,IGF1R
569,IGF2R
570,IGFBP1
571,IGFBP2
572,IGFBP3
573,IGFBP4
574,IGFBP5
575,IGFBP6
576,IGFBP7
577,IL10
578,IL10RA
579,IL10RB
580,IL11
581,IL12RB1
582,IL12RB2
583,IL13
584,IL13RA1
585,IL15RA
586,IL16
587,IL17A
588,IL17B
589,IL17D
590,IL17F
591,IL17RA
592,IL17RB
593,IL17RC
594,IL17RD
595,IL18BP
596,IL18R1
597,IL18RAP
598,IL19
599,IL1A
600,IL1B
601,IL1R1
602,IL1R2
603,IL1RAP
604,IL1RAPL2
605,IL1RL1
606,IL1RL2
607,IL1RN
608,IL2
609,IL20
610,IL20RA
611,IL22
612,IL22RA1
613,IL22RA2
614,IL23R
615,IL24
616,IL25
617,IL27RA
618,IL2RA
619,IL2RG
620,IL3
621,IL34
622,IL36A
623,IL36B
624,IL37
625,IL3RA
626,IL4
627,IL4R
628,IL5
629,IL5RA
630,IL6
631,IL6R
632,IL6ST
633,IL7
634,IL7R
635,IL9
636,IMPDH1
637,IMPDH2
638,ING1
639,INHBA
640,INS
641,INSR
642,IRF1
643,ISG15
644,ISLR2
645,ITIH4
646,JAG1
647,JAG2
648,JAK2
649,JAM2
650,JAM3
651,JAML
652,JUN
653,KAT6A
654,KDR
655,KEAP1
656,KIF23
657,KIR2DL4
658,KIR3DL2
659,KIRREL3
660,KIT
661,KLK11
662,KLK12
663,KLK13
664,KLK14
665,KLK3
666,KLK4
667,KLK5
668,KLK6
669,KLK7
670,KLK8
671,KLKB1
672,KLRF1
673,KLRK1
674,KNG1
675,KPNA2
676,KPNB1
677,KRAS
678,KREMEN2
679,KRT18
680,KYNU
681,L1CAM
682,LAG3
683,LAYN
684,LBP
685,LCK
686,LCN2
687,LCORL
688,LDLR
689,LEP
690,LEPR
691,LGALS2
692,LGALS3
693,LGALS3BP
694,LGALS4
695,LGALS7
696,LGALS8
697,LGALS9
698,LGMN
699,LIFR
700,LILRB1
701,LILRB2
702,LIN7B
703,LMAN2
704,LMNB1
705,LPO
706,LRIG3
707,LRP1
708,LRP1B
709,LRP8
710,LRPAP1
711,LRRK2
712,LRRTM1
713,LRRTM3
714,LSAMP
715,LTA
716,LTA4H
717,LTBP4
718,LTBR
719,LTF
720,LUM
721,LY86
722,LY9
723,LYN
724,LYPD3
725,LYVE1
726,LYZ
727,MAP2K1
728,MAP2K2
729,MAP2K3
730,MAP2K4
731,MAPK1
732,MAPK11
733,MAPK12
734,MAPK13
735,MAPK14
736,MAPK3
737,MAPK8
738,MAPK9
739,MAPKAPK2
740,MAPKAPK3
741,MAPKAPK5
742,MAPT
743,MASP1
744,MATK
745,MATN2
746,MATN3
747,MB
748,MBD4
749,MBL2
750,MCL1
751,MDK
752,MDM2
753,MED1
754,MEPE
755,MET
756,METAP1
757,METAP2
758,MFGE8
759,MIA
760,MICA
761,MICB
762,MIF
763,MMEL1
764,MMP1
765,MMP10
766,MMP12
767,MMP13
768,MMP14
769,MMP16
770,MMP17
771,MMP2
772,MMP3
773,MMP7
774,MMP8
775,MMP9
776,MPL
777,MPO
778,MRC1
779,MRC2
780,MSLN
781,MSN
782,MSR1
783,MST1
784,MST1R
785,MSTN
786,MUC1
787,MYBPC1
788,MYC
789,N6AMT1
790,NAAA
791,NACA
792,NAGK
793,NAMPT
794,NANOG
795,NAPA
796,NBL1
797,NCAM1
798,NCK1
799,NCR1
800,NCR2
801,NCR3
802,NEGR1
803,NGF
804,NID1
805,NID2
806,NLGN4X
807,NME1
808,NME2
809,NMT1
810,NOG
811,NOTCH1
812,NOTCH2
813,NOTCH3
814,NPPA
815,NPPB
816,NR1D1
817,NR3C1
818,NRCAM
819,NRG1
820,NRG4
821,NRP1
822,NRXN1
823,NRXN3
824,NSFL1C
825,NTF3
826,NTF4
827,NTN1
828,NTN4
829,NTRK1
830,NTRK2
831,NTRK3
832,NUDCD3
833,NXPH1
834,OAS1
835,OCIAD1
836,OLFM4
837,OLR1
838,OMD
839,OPCML
840,OSM
841,P4HB
842,PA2G4
843,PAFAH1B2
844,PAK3
845,PAK5
846,PAK6
847,PAPPA
848,PARK7
849,PCNA
850,PCSK7
851,PCSK9
852,PDCD1LG2
853,PDE11A
854,PDE1A
855,PDE2A
856,PDE3A
857,PDE4D
858,PDE5A
859,PDE7A
860,PDE9A
861,PDGFA
862,PDGFB
863,PDGFC
864,PDGFRA
865,PDGFRB
866,PDIA3
867,PDK1
868,PDPK1
869,PDXK
870,PDXP
871,PEBP1
872,PECAM1
873,PES1
874,PEX5
875,PF4
876,PFDN5
877,PGAM1
878,PGD
879,PGF
880,PGK1
881,PGLYRP1
882,PGM1
883,PI3
884,PIANP
885,PIAS4
886,PIGR
887,PIK3CG
888,PIM1
889,PKM
890,PLA2G10
891,PLA2G1B
892,PLA2G2A
893,PLA2G2E
894,PLA2G5
895,PLA2G7
896,PLAT
897,PLAU
898,PLAUR
899,PLCG1
900,PLG
901,PLK1
902,PLXNB2
903,PLXNC1
904,POMC
905,PON1
906,POR
907,POSTN
908,PPA1
909,PPBP
910,PPIA
911,PPIB
912,PPID
913,PPIE
914,PPIF
915,PPP3R1
916,PPY
917,PRDX1
918,PRDX5
919,PRDX6
920,PRKACA
921,PRKCA
922,PRKCB
923,PRKCD
924,PRKCG
925,PRKCI
926,PRKCQ
927,PRKCZ
928,PRL
929,PRLR
930,PROC
931,PROK1
932,PROS1
933,PRSS1
934,PRSS2
935,PRSS22
936,PRSS27
937,PRSS3
938,PRTN3
939,PSMA1
940,PSMA2
941,PSMA6
942,PSMD7
943,PSME1
944,PSME3
945,PSPN
946,PTEN
947,PTGS2
948,PTH
949,PTHLH
950,PTK2
951,PTK6
952,PTN
953,PTPN1
954,PTPN11
955,PTPN2
956,PTPN6
957,PYY
958,RAC1
959,RAC3
960,RAD51
961,RAN
962,RARRES2
963,RASA1
964,RB1
965,RBM39
966,RBP4
967,REG1A
968,REG4
969,RELT
970,REN
971,RET
972,RETN
973,RGMA
974,RGMB
975,RNASEH1
976,RNF43
977,ROBO2
978,ROBO3
979,ROR1
980,RPS27A
981,RPS3
982,RPS3A
983,RPS6KA3
984,RPS6KA5
985,RPS7
986,RPSA
987,RSPO2
988,RSPO3
989,RSPO4
990,RTN4R
991,RXFP1
992,S100A12
993,S100A4
994,S100A6
995,S100A7
996,S100A9
997,SAA1
998,SBDS
999,SCARB2
1000,SCARF1
1001,SCARF2
1002,SCGB2A1
1003,SCT
1004,SELE
1005,SELL
1006,SELP
1007,SEMA3A
1008,SEMA3E
1009,SEMA5A
1010,SEMA6A
1011,SEMA6B
1012,SERPINA1
1013,SERPINA10
1014,SERPINA3
1015,SERPINA4
1016,SERPINA5
1017,SERPINA6
1018,SERPINA7
1019,SERPINC1
1020,SERPIND1
1021,SERPINE1
1022,SERPINE2
1023,SERPINF1
1024,SERPINF2
1025,SERPING1
1026,SET
1027,SEZ6L2
1028,SFN
1029,SFRP1
1030,SFTPD
1031,SGTA
1032,SH2D1A
1033,SHBG
1034,SHC1
1035,SHH
1036,SIGLEC1
1037,SIGLEC14
1038,SIGLEC6
1039,SIGLEC7
1040,SIGLEC9
1041,SIRPA
1042,SIRT2
1043,SKP1
1044,SLAMF6
1045,SLAMF7
1046,SLC25A18
1047,SLITRK1
1048,SLITRK5
1049,SLPI
1050,SMAD2
1051,SMAD3
1052,SMOC1
1053,SNAP25
1054,SNCA
1055,SNRPF
1056,SNX4
1057,SOD1
1058,SOD2
1059,SOD3
1060,SORCS2
1061,SOST
1062,SPARC
1063,SPARCL1
1064,SPHK1
1065,SPHK2
1066,SPINT1
1067,SPINT2
1068,SPOCK1
1069,SPOCK2
1070,SPON1
1071,SPP1
1072,SPTAN1
1073,SRC
1074,SSRP1
1075,SST
1076,STAB2
1077,STAT1
1078,STAT3
1079,STAT6
1080,STC1
1081,STIP1
1082,STK16
1083,STUB1
1084,STX1A
1085,SUMO3
1086,SYNCRIP
1087,TACSTD2
1088,TAGLN2
1089,TBK1
1090,TBP
1091,TDGF1
1092,TEC
1093,TEK
1094,TF
1095,TFF1
1096,TFF2
1097,TFF3
1098,TFPI
1099,TG
1100,TGFB1
1101,TGFB2
1102,TGFB3
1103,TGFBI
1104,TGFBR2
1105,TGFBR3
1106,TGM3
1107,THBS1
1108,THBS2
1109,THBS4
1110,THPO
1111,TIE1
1112,TIMP1
1113,TIMP2
1114,TIMP3
1115,TK1
1116,TKT
1117,TLR2
1118,TLR4
1119,TMPRSS15
1120,TNC
1121,TNF
1122,TNFAIP6
1123,TNFRSF10A
1124,TNFRSF10B
1125,TNFRSF10D
1126,TNFRSF11A
1127,TNFRSF11B
1128,TNFRSF12A
1129,TNFRSF13B
1130,TNFRSF13C
1131,TNFRSF14
1132,TNFRSF17
1133,TNFRSF18
1134,TNFRSF19
1135,TNFRSF1A
1136,TNFRSF1B
1137,TNFRSF21
1138,TNFRSF4
1139,TNFRSF6B
1140,TNFRSF8
1141,TNFRSF9
1142,TNFSF11
1143,TNFSF12
1144,TNFSF13B
1145,TNFSF14
1146,TNFSF15
1147,TNFSF18
1148,TNFSF4
1149,TNFSF8
1150,TNFSF9
1151,TNNI2
1152,TNNI3
1153,TNNT2
1154,TOP1
1155,TP53
1156,TPI1
1157,TPM1
1158,TPM2
1159,TPM4
1160,TPO
1161,TPSB2
1162,TPT1
1163,TSLP
1164,TXNDC12
1165,TYK2
1166,TYMS
1167,TYRO3
1168,UBB
1169,UBC
1170,UBE2G2
1171,UBE2I
1172,UBE2L3
1173,UBE2N
1174,UCHL1
1175,UFC1
1176,UFM1
1177,ULBP1
1178,ULBP2
1179,ULBP3
1180,UNC5C
1181,UNC5D
1182,USP25
1183,VAV1
1184,VCAM1
1185,VEGFC
1186,VEGFD
1187,VIP
1188,VSIR
1189,VTA1
1190,VTN
1191,VWF
1192,WFIKKN1
1193,WFIKKN2
1194,WIF1
1195,WNK3
1196,WNT7A
1197,XCL1
1198,XPNPEP1
1199,XRCC6
1200,YES1
1201,YWHAB
1202,YWHAE
1203,YWHAQ
1204,YWHAZ
1205,ZAP70
1206,ZNRF3
